Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM,ABBV,ABT,AOS,MMM
Date,,,,,,,,,,,,,,,,,,,,
2023-01-12,136.57858276367188,104.99312591552734,58.135009765625,96.31122589111328,139.30620049656824,105.96423574791633,59.470031799204,96.66117622332207,136.12996043523802,104.54999645184856,57.746811971799836,95.14967994493514,139.07292181449475,105.58710383032633,59.40375439136906,96.49737055217285,7665100,4697700,1160800,2200042
2023-01-13,137.81675720214844,107.02020263671875,58.82618713378906,96.43036651611328,138.0051708755146,107.37847399868542,58.911401454200885,96.5048298258018,135.7889759211131,104.8328461678216,57.131370989958285,95.45497189426712,136.46190927914924,104.90826679605097,57.7562748023624,95.61877758738669,6019300,5348700,803500,2025306
2023-01-17,137.1259002685547,106.90706634521484,56.83785629272461,94.26361846923828,139.16264943917088,107.7461811199613,58.50426892854255,96.72072349778993,136.901589108073,106.5959319609084,56.818919375062165,94.10725915484828,137.99622866649287,107.01077780665032,58.32437001667318,96.61648169016476,8507000,5711000,1436200,4199036
2023-01-18,133.86886596679688,105.1345443725586,56.94200134277344,91.39702606201172,136.75799412124826,107.0861941851091,57.77520757008984,94.70295262742485,133.75223350090275,104.83284029695827,56.54433695064238,91.0321829985521,136.48881805458032,106.73734592546174,56.96093825837691,94.44979774125039,6190800,4288500,1311200,5093166
2023-01-19,133.4292449951172,105.40797424316406,54.71696472167969,88.18043518066406,135.07119049753666,105.89824071241898,56.69582720317742,91.05450827535407,132.19104311703148,104.26714818727994,54.65068732469844,88.09853233530862,133.6445749280952,104.71027766146427,56.69582720317742,90.83858506272516,7169900,6157700,1045300,5955721
2023-01-20,134.2187957763672,106.36963653564453,56.00464630126953,89.8333969116211,134.32647442158796,106.5770594211869,56.0235796046213,89.87806809859214,132.02951709868606,105.26653176419688,54.39504462782481,86.93698508938783,134.0752333766488,105.78508178486078,55.029415033679555,88.26977627979413,7059000,5078300,1209300,5230706
2023-01-23,133.2856903076172,107.49161529541016,57.00828170776367,91.30022430419922,134.97250087416975,108.14216047126209,57.00828170776367,92.25328672051552,132.8370680000795,105.9925179217835,55.853158690625825,89.65470746544348,134.46107856282728,106.00194819772133,56.14667186813373,89.80362049557523,7616400,6115300,1072300,4080991
2023-01-24,132.5140380859375,106.09622192382812,57.443817138671875,85.62653350830078,133.57277998989028,107.16162004097396,57.746804177397294,89.34942715571788,131.39248249741257,105.86051539429214,56.364438228937836,85.25424414355908,132.86396288192273,106.40735626918182,57.13136705988708,86.40089756107473,5171400,4662000,699100,12290694
2023-01-25,132.603759765625,104.6537094116211,57.301795959472656,84.08525085449219,132.774238412622,105.82281189906224,57.33019952717425,86.5498026912495,131.44632037470194,103.32432100149752,56.40231232649927,83.95122370601291,132.23589992253454,103.71088320070558,56.75263623825932,85.25423636370276,5744300,6070800,689600,7167867
2023-01-26,132.25387573242188,104.71969604492188,55.72060012817383,84.54690551757812,133.42029669021167,105.23825328415937,57.65212227299076,84.95641978326128,131.99368076895138,103.81458383995565,55.701666823482256,83.21410728449537,132.72044685371156,104.88940503292756,57.43435315056251,84.51712019131094,4577800,4159500,1597200,5532218
2023-01-27,131.24891662597656,103.66374206542969,57.150306701660156,85.81267547607422,132.50505337556586,104.89884932947007,57.41541630986256,86.20730382080015,131.0066567918187,103.53174696747016,55.69219663285192,84.47987741834943,132.17307731121664,104.32372474842067,55.76794429910833,84.68091475600593,4591500,4860600,1716700,4920942
2023-01-30,130.68365478515625,103.53173065185547,56.674537658691406,83.82464599609375,132.00260528368258,104.34256166479524,58.15895905465254,86.3711075588542,130.33372998090627,103.35259858610752,56.284400800792746,83.80975333525527,130.88104966866797,103.53173065185547,56.72211461601774,85.23190053387476,4573400,4434800,1707400,7059868
2023-01-31,132.56787109375,104.22942352294922,64.42017364501953,85.68609619140625,132.65760101753645,104.33313496471868,64.81983166098152,85.68609619140625,129.5710778350354,102.64547545878798,60.54735454382014,83.67573636687585,130.66571718908205,103.51287370523077,60.880396840640486,84.24906306780936,5628700,5698300,6350200,6065155
2023-02-01,131.53604125976562,105.42682647705078,66.57068634033203,86.2668685913086,132.2897233085973,105.68138638865545,66.81809229924171,86.92209813127744,130.32475578132178,103.39974868763167,63.91585103062099,84.62135180776868,131.56295749787648,104.44628635581566,65.1623911337516,85.29147400907048,5439900,4532300,2124300,3708557
2023-02-02,129.95687866210938,105.83223724365234,66.9893798828125,89.56534576416016,130.93487179526952,105.9453789732395,68.38816494058953,89.98231309240803,128.7007419489554,104.54999308110233,66.81809993166065,86.0062647836589,130.93487179526952,104.91769471076962,67.5698282028394,86.43811797868953,6160800,5051800,1627700,5880971
2023-02-03,130.27989196777344,105.39852905273438,65.70476531982422,87.48053741455078,131.7154885703553,105.90765600252946,66.77050048393411,88.77610391087526,129.83126974082458,104.3331381647436,65.37171582126355,86.95933500121481,130.9259090698489,105.41738240945618,66.10441600636543,88.55272756567543,6553000,3754500,952100,3208150
2023-02-06,130.118408203125,104.41799926757812,64.22034454345703,86.74340057373047,131.29379637063568,105.30425817717885,65.22899620363145,87.30928094495421,129.92998082403716,104.14457881263337,64.0680997564995,86.28176203868978,130.76442537304717,105.19111644621081,65.03868114521309,86.95933057683088,4297000,4145600,1318500,2974811
2023-02-07,130.22605895996094,105.58709716796875,63.40201187133789,87.04122924804688,130.51318375565182,105.98308961270801,63.89682379411676,87.2720451074532,128.89814100705001,103.59773344156993,62.574164910184095,85.45527637732376,129.72360425836567,103.74858907636442,63.65893540118243,86.23707992007077,5401900,3401600,1197800,2610509
2023-02-08,129.75051879882812,103.89942932128906,63.00235366821289,85.81267547607422,131.3117290505255,105.47395431417311,63.53522128228499,86.8848655514459,129.62490512507296,103.47516046998733,62.66931140941782,85.63397713017893,130.46831708779922,105.0308249134137,62.89768220690919,86.4976903314043,5753800,4222300,853400,3003993
2023-02-09,133.42027282714844,101.8912353515625,62.62174606323242,84.08525085449219,137.90649594635897,104.90827655724728,64.00150327064526,86.95932367273362,132.70247438990145,101.36325493886606,62.269675843923835,83.73529372005618,133.2408266405533,104.36144278403754,63.630397912046284,86.69126937577505,12216900,3912700,774800,4307872
2023-02-10,136.426025390625,101.97608184814453,62.90719985961914,84.7926025390625,137.439902339287,102.67377119881206,63.11654278251067,85.04575739559182,133.4830646029606,101.63666385199433,62.07934573539631,83.9139966806176,134.30852787844069,102.07036302636564,62.26966078337805,84.30862502356732,8956700,4186300,764700,2720302
2023-02-13,137.9333953857422,102.31549072265625,64.73419189453125,85.83499908447266,137.9782603496418,102.90004552571787,64.79128278885584,86.08815389677098,135.71720033957607,101.60837110953659,62.98333671064883,84.73302388424885,136.39911493277475,102.12692836976808,63.14509908442053,85.15743068116358,5602600,3711000,1055900,2688130
2023-02-14,136.91053771972656,101.1275405883789,64.21082305908203,85.03829956054688,138.17565577595028,102.14578742120001,64.82932692690014,85.68608267238992,136.16582312686148,100.27899556670042,63.592311931488034,84.10012997869194,138.10387457160445,102.00436924524783,64.53434771241606,85.47015949783977,4662800,4244000,875900,2944911
2023-02-15,135.53775024414062,101.1463851928711,64.73419189453125,85.47016143798828,137.71806147047516,101.17466882561348,64.78177247965375,85.49249363303744,135.3313878452248,100.20355907109833,63.61135832755343,84.28627654242835,136.93744945568162,100.65611877455395,63.649421343695835,84.62134099732314,5648100,4060300,594900,3022651
2023-02-16,134.16497802734375,100.01499938964844,64.43920135498047,84.49695587158203,135.0353063462399,101.2500993402674,64.88643264192729,85.50789991317018,133.44717964081855,99.62843721668646,63.145088070963745,83.56145418222206,133.78813695486275,99.72271839273805,63.468612762079545,84.87417451677732,3757500,3299000,742000,3223340
2023-02-17,135.7620849609375,100.63726043701172,63.982452392578125,85.24385833740234,135.8338661753974,100.84468333927389,64.21083044921399,85.28158296001297,133.33952715910038,99.45872775887904,62.298205968604925,83.50111156984072,133.8240332431211,99.50587194328139,64.21083044921399,84.46678618406526,4562400,3564100,1178700,3381929
2023-02-21,136.3811798095703,97.72393798828125,62.4885139465332,82.42224884033203,137.29637313910337,100.0715732342799,63.90633382830722,84.79872755262437,134.42519314444354,97.44108724834223,62.1269262454225,82.36944126186066,134.42519314444354,99.79815277052367,63.36394138697602,84.49695127606988,8466100,5204300,1433400,4651364
2023-02-22,135.18783569335938,96.8188247680664,62.298213958740234,82.1883773803711,136.51575380361965,97.91249941947322,63.07848760287921,83.27476372181243,134.80202710565578,94.75403308849532,61.993717103948875,81.86396633215915,135.48392803992664,97.33737486208761,62.726410165242015,82.63349343270714,6041700,8900900,626300,3175380
2023-02-23,136.4440155029297,96.68682098388672,62.62174606323242,82.16574096679688,137.7898826259452,97.84649307730922,62.94527809316246,83.20686463187683,133.84199751724535,95.84770631687617,61.784381428918046,81.48674607495275,135.39422709901342,97.33736611195577,62.73593511963924,82.7617417043917,5993300,4611100,809900,3520785
2023-02-24,137.01821899414062,94.71631622314453,61.75582504272461,81.32832336425781,137.26046516122136,95.97970703204676,62.231601803824525,81.88660641774933,135.40317609261035,94.17890559369918,61.27053071366507,80.54370636624616,135.75310091370315,95.64971211782483,61.955650411213306,81.56219534847773,5621100,5476800,810400,3424028
2023-02-27,138.42689514160156,94.06575775146484,62.155487060546875,81.6828842163086,138.84860119688724,95.5177108228404,63.04043228719601,83.50861756904624,137.36815309019738,93.96205349718807,62.06033314301248,81.63006976491799,137.51170182046394,95.4894271904747,62.39337548427214,82.12800017205217,6828800,4489800,668400,4252976
2023-02-28,138.08595275878906,95.90428924560547,62.45046615600586,81.28305053710938,138.50765885971484,96.56426475671071,62.86915210337072,82.17328954765252,136.93748064716453,93.99035307020667,61.96517900040952,80.91337682430486,138.13979894069092,94.13177125601952,61.96517900040952,81.56973697602453,7561700,7877000,1017300,4043078
2023-03-01,139.31517028808594,95.06517028808594,63.535221099853516,83.14649963378906,139.59331391838168,95.56486703797549,63.725536147030496,84.74590619697473,136.71315278189087,94.6503244459769,62.212562376024664,82.7919158076046,137.06307762175743,94.94259827481194,62.56463976846952,83.77268690561851,5485800,3963500,1855900,5877981
2023-03-02,138.5166015625,96.76225280761719,64.36308288574219,82.91262817382812,139.76377079127548,97.09224774066742,64.50581737317935,83.16913489172282,138.36407165001538,94.53718234287678,62.783507734829634,81.26795206532495,139.27925112492315,94.53718234287678,63.1355779094267,82.7994612181514,4567800,5209900,915500,9076803
2023-03-03,140.0239715576172,98.47817993164062,64.829345703125,83.93866729736328,140.12266899819227,98.53475438709485,64.88644385713789,84.48940538161594,138.18461763282562,96.884808767989,63.31637892767657,82.69384447341946,138.47174243844924,97.0168038420621,64.56291185032487,83.57653852328231,4851200,4982400,826100,3636797
2023-03-06,139.3241424560547,96.87538146972656,63.658931732177734,82.93525695800781,140.3828982189847,98.6196083105917,64.93400996012292,84.21025241689533,138.66017651350987,96.76223974853387,63.38298034110515,82.74664767350589,139.78173228011957,98.53475741459138,64.83885606038893,84.04427789870637,4051900,5005100,1004100,3373677
2023-03-07,137.21559143066406,94.26376342773438,63.17363739013672,80.79266357421875,139.674046228768,97.20537646781689,64.07761032705086,82.99562285114698,136.4260255999168,94.11290778814408,63.135574378297136,80.75494584166033,139.58432999549848,96.97910020162426,63.54474268085113,82.98807792782446,4606900,6349000,854400,4033869
2023-03-08,134.22779846191406,93.7169189453125,63.763607025146484,80.84546661376953,137.942390581126,94.53717307638564,63.839725793633896,81.3056724511436,133.27670767973686,93.58492386230779,62.954787939218896,80.10611930506849,137.0899972531905,94.20718536887388,63.30685811533386,81.05671066884216,5860100,6252600,650100,4107901
2023-03-09,132.208984375,92.25553131103516,64.16325378417969,79.60818481445312,135.40317264852143,94.25432520798658,65.2670520861057,81.90167584667239,131.50913475061563,91.92554361873455,63.620868571212334,79.53274247977282,134.64949054393284,94.17889739454867,63.90633752952238,81.22268106644403,5350200,5146000,1497300,4142585
2023-03-10,134.32650756835938,91.41641998291016,62.89768981933594,78.50672149658203,135.16093855225884,92.77409190125789,64.51533525177129,80.72476366794757,132.3166745489424,91.03928809523663,62.05080771885567,78.26529772578814,132.64865070070445,92.17068375825723,64.28695716686285,79.62328750535548,6825500,7042400,1179100,4417904
2023-03-13,136.33631896972656,92.57611846923828,62.593204498291016,78.084228515625,137.56555342423331,93.52836787134945,63.16413529619709,78.9744674288403,133.68945004591694,90.87902821950577,61.584559846664334,77.50331077785572,133.68945004591694,91.0770208831089,61.7748676927067,78.21248531618883,7653800,6553000,946900,5036476
2023-03-14,138.0410614013672,92.91551971435547,64.21082305908203,77.5410385131836,138.1666750742689,93.8112016772126,64.40113082459901,79.34414429603675,135.89664775556136,91.77469374585922,63.26878001837811,76.47728010487823,136.3362887652856,93.60377877384964,63.65892037539656,78.9065731864615,6644100,5093900,830400,5707312
2023-03-15,138.22947692871094,92.20841217041016,63.4400749206543,77.5410385131836,138.51660172256464,92.3404072728794,63.6874808821813,77.57121820489698,136.13889573012867,91.17129751787526,61.96517123950795,75.64740053924406,136.54265299197968,91.92556141186544,63.17364108198412,76.43956237429026,6304600,5712100,1279200,5850473
2023-03-16,139.34207153320312,93.3680648803711,64.10617065429688,78.61988067626953,139.89835873392252,93.60377139867687,64.210842134359,78.78585519972673,136.8387517482371,91.45412910263897,62.574168729509125,76.56026144152916,137.45785263464512,91.51069636521089,63.09751887004169,76.78659534373679,6331200,5289100,1015700,4356550
2023-03-17,138.373046875,91.46356201171875,62.298213958740234,77.72211456298828,140.03295466422674,93.5283462801748,64.06810419589556,78.8085079031679,136.2734980461364,90.99214896152998,61.83195473791733,76.92995260902285,139.7727460942424,93.34921421247383,64.06810419589556,78.72551373849701,42756400,10848100,2484200,13617297
2023-03-20,140.07781982421875,92.27439880371094,63.23072052001953,78.69532775878906,140.27521472761742,92.58552596946515,63.80165836778577,78.80094979391514,138.58840422248204,91.62384645194778,62.27916712011088,77.87299313022976,138.6422367068879,91.69927427106089,62.59318148442705,78.01633289529495,4408200,6075700,1074100,3255392
2023-03-21,140.66104125976562,92.70809936523438,63.67795944213867,78.68022918701172,140.91226865514741,92.78352718547953,64.39162457794805,79.57800605993323,139.16264440485776,91.7275592816259,62.964294306329286,77.98614455489927,140.54439507945756,92.55724372474407,63.95391083249156,79.39694170095657,4675700,4475000,882200,3137826
2023-03-22,137.8795623779297,91.3221435546875,63.26879119873047,76.60552215576172,140.75972328254318,93.6320647977812,64.89594683869889,78.87637830251819,137.825729897802,91.30328300306792,63.25928089061717,76.57534246986118,139.68301891653064,92.97208935495237,63.97294602708282,78.70285887669502,4376900,3606700,938500,3355378
2023-03-23,139.34207153320312,91.49185180664062,63.07847595214844,76.19813537597656,140.41876217915154,92.21782478782771,64.22985469853418,77.65420217856706,138.19359968540957,90.92615754694783,62.821552467879556,76.01707100148546,138.2653808872547,91.35985671915206,63.28781886235973,76.69606584785382,4584000,4525000,1205800,3800051
