timestamp,Open,High,Low,Close,Volume,VWAP
2025-02-04 09:30:01.391789-05:00,597.8,597.83,597.63,597.82,427273.0,597.8154907848076
2025-02-04 09:30:02.819997-05:00,597.82,597.82,597.63,597.64,13858.0,597.6871600736042
2025-02-04 09:30:05.853084-05:00,597.64,597.83,597.58,597.67,24519.0,597.6494802316578
2025-02-04 09:30:19.142763-05:00,597.82,597.82,597.47,597.67,86686.0,597.5791812172678
2025-02-04 09:30:45.609696-05:00,597.68,597.7,597.34,597.43,101629.0,597.5332708941345
2025-02-04 09:31:09.622031-05:00,597.43,597.82,597.4098,597.6387,89951.0,597.5959246178469
2025-02-04 09:31:37.943295-05:00,597.635,597.82,597.28,597.29,95032.0,597.4432030558127
2025-02-04 09:32:06.781900-05:00,597.3,597.82,597.28,597.61,81121.0,597.4038407292809
2025-02-04 09:32:44.047854-05:00,597.61,597.92,597.46,597.8,81738.0,597.7115044667111
2025-02-04 09:33:17.463416-05:00,597.79,598.1,597.5472,598.075,93693.0,597.937021180878
2025-02-04 09:33:55.891291-05:00,598.075,598.17,597.638,597.99,75702.0,598.0529172980891
2025-02-04 09:34:33.369153-05:00,597.99,598.18,597.7594,598.13,81268.0,598.0856526898647
2025-02-04 09:35:07.774988-05:00,598.13,598.15,597.82,597.9,84954.0,598.0213731266325
2025-02-04 09:35:55.249235-05:00,597.9,598.07,597.87,598.01,79405.0,597.9923194622509
2025-02-04 09:36:32.453740-05:00,598.01,598.21,597.82,598.05,70383.0,598.0340953980357
2025-02-04 09:37:17.043156-05:00,598.05,598.0899,597.93,598.025,83614.0,597.9970004879566
2025-02-04 09:37:49.884750-05:00,598.025,598.16,597.91,597.91,78171.0,598.0428899029049
2025-02-04 09:38:24.527116-05:00,597.91,598.1299,597.8616,598.06,110516.0,598.0063994579968
2025-02-04 09:38:54.612230-05:00,598.06,598.4,598.0259,598.38,127127.0,598.3189371667697
2025-02-04 09:39:24.025763-05:00,598.38,598.42,598.0901,598.42,98274.0,598.339499808699
2025-02-04 09:39:51.907936-05:00,598.42,598.55,598.1782,598.43,117742.0,598.4727543187649
2025-02-04 09:40:38.269821-05:00,598.41,598.4488,598.11,598.168,87806.0,598.2293778773658
2025-02-04 09:41:12.008003-05:00,598.17,598.3115,597.9602,598.06,96095.0,598.1041235059051
2025-02-04 09:41:54.005342-05:00,598.0611,598.2,597.97,598.1,87171.0,598.0636705016578
2025-02-04 09:42:35.420568-05:00,598.1,598.12,597.82,598.1098,109091.0,597.9911000861669
2025-02-04 09:43:24.924563-05:00,598.12,598.54,597.9949,598.42,84732.0,598.3805313635929
2025-02-04 09:44:32.459782-05:00,598.41,598.52,598.1561,598.2888,56958.0,598.3690075722461
2025-02-04 09:45:43.555074-05:00,598.275,598.45,598.1727,598.2,69807.0,598.2904174968123
2025-02-04 09:46:43.042937-05:00,598.2,598.3184,597.94,598.13,73662.0,598.0902559148544
2025-02-04 09:47:57.896773-05:00,598.14,598.2799,598.0,598.03,51992.0,598.1264945280046
2025-02-04 09:49:17.056099-05:00,598.03,598.28,597.941,598.25,51905.0,598.0969245236495
2025-02-04 09:50:26.034410-05:00,598.25,598.51,598.1102,598.4316,57536.0,598.2858335546439
2025-02-04 09:51:25.060611-05:00,598.4361,598.58,598.1,598.1,78023.0,598.402939132052
2025-02-04 09:52:20.677310-05:00,598.1,598.43,598.065,598.38,68962.0,598.3024659551642
2025-02-04 09:53:08.725126-05:00,598.38,598.66,598.33,598.64,101050.0,598.544689621969
2025-02-04 09:53:52.781212-05:00,598.66,598.86,598.4716,598.85,98716.0,598.7292575712146
2025-02-04 09:54:46.532387-05:00,598.85,598.9875,598.5008,598.92,107062.0,598.8706141871056
2025-02-04 09:55:38.174406-05:00,598.9199,599.14,598.4821,599.055,98006.0,599.0108294471768
2025-02-04 09:56:31.974588-05:00,599.04,599.07,598.5423,598.91,79539.0,598.9567574648906
2025-02-04 09:57:44.695385-05:00,598.91,599.1,598.6188,598.95,82250.0,599.006231119757
2025-02-04 09:58:07.725223-05:00,598.97,599.02,598.6817,598.875,143481.0,598.9141280099807
2025-02-04 09:59:12.991720-05:00,598.875,599.21,598.7521,599.09,90066.0,598.9704090411484
2025-02-04 10:00:01.063964-05:00,599.09,599.25,598.9,599.11,92773.0,598.980837308269
2025-02-04 10:00:12.838094-05:00,599.11,599.76,598.9792,599.59,112437.0,599.4039882280745
2025-02-04 10:00:43.128008-05:00,599.59,599.9,599.3116,599.54,107753.0,599.6416192802058
2025-02-04 10:01:30.526623-05:00,599.54,599.58,598.9808,599.4808,75020.0,599.4423463156486
2025-02-04 10:02:33.083563-05:00,599.48,599.722,599.0073,599.64,68309.0,599.5102126571903
2025-02-04 10:03:37.743555-05:00,599.6301,599.74,599.52,599.59,65325.0,599.6583945212402
2025-02-04 10:04:45.948020-05:00,599.6129,599.81,599.4258,599.76,76204.0,599.6543151199418
2025-02-04 10:05:43.237908-05:00,599.76,599.86,599.5421,599.83,80952.0,599.7785549387296
2025-02-04 10:06:21.852464-05:00,599.83,600.13,599.675,599.82,84909.0,599.9431318694141
2025-02-04 10:07:26.398380-05:00,599.7623,599.95,599.3727,599.84,69522.0,599.793909053251
2025-02-04 10:08:32.652608-05:00,599.83,600.25,599.8002,600.24,72036.0,600.0707245030267
2025-02-04 10:09:13.890136-05:00,600.25,600.41,599.9354,600.32,98554.0,600.2770009690125
2025-02-04 10:09:56.149199-05:00,600.32,600.69,600.0074,600.575,77028.0,600.4891525782845
2025-02-04 10:10:36.591628-05:00,600.5792,600.71,599.8881,600.68,91987.0,600.601357669019
2025-02-04 10:11:21.609665-05:00,600.69,600.84,559.17,600.6851,77547.0,600.7600018466212
2025-02-04 10:12:18.498910-05:00,600.68,600.74,600.0725,600.61,73092.0,600.623579068845
2025-02-04 10:12:48.545164-05:00,600.63,600.89,600.3501,600.8,98377.0,600.5496229179587
2025-02-04 10:12:52.389461-05:00,600.8,600.93,600.36,600.39,75779.0,600.7373719764054
2025-02-04 10:13:33.108265-05:00,600.39,600.7588,600.35,600.53,98099.0,600.472036543695
2025-02-04 10:14:31.335180-05:00,600.53,600.65,600.335,600.47,92835.0,600.5407899316
2025-02-04 10:15:41.717424-05:00,600.47,600.7085,600.33,600.58,69803.0,600.5173610231652
2025-02-04 10:16:52.005790-05:00,600.58,600.74,600.4,600.579,76462.0,600.5467188407316
2025-02-04 10:17:46.326554-05:00,600.571,600.72,600.47,600.525,84830.0,600.5903661558409
2025-02-04 10:18:58.551224-05:00,600.5431,600.77,600.49,600.71,83656.0,600.6505397209996
2025-02-04 10:19:45.877813-05:00,600.72,601.14,600.5774,601.12,76316.0,600.9137512684104
2025-02-04 10:20:41.973095-05:00,601.13,601.15,600.6225,600.92,74000.0,601.0102877324322
2025-02-04 10:21:55.776963-05:00,600.92,601.0397,600.6498,601.03,90114.0,600.9224222651313
2025-02-04 10:23:14.928432-05:00,601.03,601.0793,600.46,600.705,80072.0,600.7988132855436
2025-02-04 10:24:11.796727-05:00,600.6957,600.8856,600.53,600.54,95063.0,600.5974020649476
2025-02-04 10:25:21.058696-05:00,600.54,600.8329,600.4183,600.62,70656.0,600.6386030386653
2025-02-04 10:26:50.229008-05:00,600.62,600.86,600.61,600.7799,57028.0,600.7266203075693
2025-02-04 10:28:18.002283-05:00,600.77,600.9388,600.6589,600.82,63282.0,600.7954828371417
2025-02-04 10:29:46.315640-05:00,600.82,600.85,600.46,600.48,72741.0,600.5985617767153
