stock_1,stock_2,mi_value
ACN,MSFT,2.561244876958083
APO,ARES,2.5610391467839584
NDAQ,RSG,2.560822535047129
MCD,RSG,2.5607922944782837
CMS,XEL,2.5596519312697383
ADP,MSI,2.5590818346643225
BRO,NVDA,2.558895334611394
AJG,KLAC,2.55884610574667
AJG,ISRG,2.5574089851708375
CPRT,KLAC,2.557205187695535
CTAS,GRMN,2.5571763371985843
MSI,SNPS,2.557066981180723
AME,APH,2.5570120573963715
MCO,MSFT,2.5557402269274103
MRSH,PGR,2.552913794771844
FICO,MRSH,2.552618435272798
GRMN,RSG,2.551539810645134
AJG,ETN,2.550851588965695
AON,RSG,2.5502307402189954
CTAS,ICE,2.5501776962875375
CDNS,PGR,2.5501318829355575
AVGO,MPWR,2.5497396314811285
ETN,HUBB,2.5488525465804805
CTAS,ISRG,2.54813430561354
LIN,MSFT,2.5480607785003233
APH,BRO,2.5479809650315786
FIX,MSI,2.5479436345166055
GOOG,NVDA,2.5469080567788946
AAPL,NVDA,2.5468033385287177
MSI,NVDA,2.545999616033868
CPRT,TT,2.5458881546105365
FAST,MSFT,2.545487876694119
LRCX,MSFT,2.5449540511660125
DOV,TT,2.5447554833932315
AJG,GOOG,2.5445809506686357
AJG,PWR,2.543782941642837
CPRT,MRSH,2.5435782857118645
AAPL,AJG,2.5433706217021057
AJG,MCD,2.542360655332439
AJG,VRSK,2.5421242150226044
BRO,CDNS,2.5416029103198783
ANET,MSFT,2.54081659320663
PH,TT,2.5408051171852253
GRMN,MSI,2.5400143800982997
AON,CTAS,2.5399065006008215
BRO,MA,2.53952121582131
FICO,INTU,2.539120165110058
LIN,MSI,2.5384264506198155
FICO,NVDA,2.5381974630490154
RSG,TDG,2.53793535159813
WM,WRB,2.5378673522351876
AME,CTAS,2.5361714602205336
ARES,NVDA,2.5361136648885347
FIX,PWR,2.535515485789991
MSFT,VRSK,2.5355096815082785
AEE,CMS,2.535454021906734
MRSH,MSFT,2.535400502896975
LRCX,NVDA,2.5344705483774836
MPWR,SNPS,2.533793835446922
BR,FICO,2.5335423058772326
TT,WM,2.532982160802619
LIN,RSG,2.5319178873540853
AJG,GWW,2.5314023906965533
APO,MSFT,2.5309077093546772
BRO,TT,2.530904834228094
FICO,ISRG,2.530865929984257
NDAQ,PGR,2.530598951085242
APO,KKR,2.5301039817656434
FIX,PGR,2.529491307769125
CPRT,GRMN,2.5293367526486374
PGR,TT,2.52896162436784
MSFT,TDG,2.5266329832318197
FICO,GRMN,2.5262396329238532
FIX,RSG,2.525374108149399
INTU,SNPS,2.5247219854130907
CPRT,INTU,2.523370007004622
FIX,MSFT,2.522967047146609
AFL,CTAS,2.5228055847421764
APO,CTAS,2.5224451456039674
COST,NVDA,2.5223402842729445
APH,MSI,2.521731448121866
ICE,RSG,2.521564028797602
FTNT,MSFT,2.5213194277002158
CPRT,MSCI,2.519903898538262
BRO,V,2.5198857150537766
COST,CPRT,2.519854465104201
KLAC,RSG,2.5193773056036894
AMD,MSFT,2.519109282229101
AAPL,CTAS,2.519095911831044
CTAS,WMT,2.5189415600408864
CTAS,ETN,2.51889470331587
MSI,NDAQ,2.5188191794515014
BRO,VRSK,2.5188106188794364
NVDA,PWR,2.5186852589620603
AJG,LLY,2.5183170002924906
AVGO,FICO,2.5180439989851977
GRMN,TT,2.517430120875737
RSG,VRSK,2.5170884365652917
DHI,NVR,2.516487704918016
CDNS,MRSH,2.5160492623687905
MRSH,SNPS,2.5159731139110217
APH,APO,2.5149985220373208
AJG,MCO,2.514688691955771
ADP,WM,2.5143422993206377
CTAS,MCD,2.5141533326875343
INTU,RSG,2.513755203918963
ORLY,PGR,2.5135161176881424
ARES,RSG,2.5133981462936377
AJG,WMT,2.513230856098888
CTAS,MPWR,2.512898461650991
BRO,LIN,2.5125225974272256
ARES,KKR,2.5124215334948223
CAT,PH,2.5123064933996124
AJG,ORCL,2.5114189768057242
BR,BRO,2.511373701371936
AJG,MSCI,2.510186109674592
AVGO,MRSH,2.510108937933198
CTAS,ORLY,2.5098004222588712
AVGO,LRCX,2.5096968264533404
ARES,FICO,2.509602524390784
BR,MSFT,2.5091439868019685
COST,FICO,2.5090722676956467
MA,RSG,2.5088204358922592
BRO,ISRG,2.508073562578052
CPRT,MA,2.5076993553787057
BRO,NDAQ,2.507697571742488
APH,MPWR,2.507487031131155
BX,KKR,2.5073102113186674
RSG,SNPS,2.507254450953747
CTAS,MSCI,2.5065322607610057
CTAS,VRSK,2.5063970106528957
CPRT,V,2.50591040720652
COST,WMT,2.505829830123928
ARES,COST,2.5053290396593955
AON,MSI,2.5050804345340296
LIN,PGR,2.5042984424189463
MA,MSI,2.5041408723120604
CTAS,GWW,2.503811107708061
APH,CDNS,2.503740038648248
KLAC,MSI,2.503599817688908
CMS,DTE,2.503547165372403
AJG,APO,2.503244291910788
BRO,FIX,2.5031346354831374
NDAQ,SPGI,2.503022851647673
AFL,PGR,2.502672565219141
CPRT,WM,2.5026284265460164
AEP,CMS,2.5016313300746837
CDNS,LIN,2.501471731906819
AJG,ANET,2.500607478344156
AVGO,PGR,2.5003700965612508
LLY,RSG,2.500068479082435
ADP,BRO,2.499475908992766
BRO,SNPS,2.4994200255904513
MSI,WRB,2.4992123169114944
PGR,WMT,2.499019111997809
AEE,XEL,2.4989800986803035
APH,PGR,2.498323209172373
AMZN,MSFT,2.4973385235038705
FICO,WM,2.496957295125388
AJG,TMUS,2.496832900996745
CTAS,SYK,2.4966151348104386
NVR,PHM,2.4959633268016397
MSI,V,2.495961158358694
RSG,SPGI,2.495880314767523
BRO,SPGI,2.495485942047752
CTAS,MCO,2.494023937005724
CTAS,GOOG,2.4939681535171143
CTAS,PAYX,2.4934910161328068
AJG,FAST,2.4933657528165574
CPRT,ISRG,2.493009406380562
FICO,TDG,2.4929441847167757
AFL,BRO,2.492762615946918
KKR,MSFT,2.4917328013968794
ARES,SNPS,2.490642138287642
LIN,MRSH,2.4904802081094837
AJG,AME,2.490339726842853
MSFT,WRB,2.4902492248561146
ETN,KLAC,2.490055438914573
ISRG,NVDA,2.4899817165584435
FICO,MSCI,2.4895675701077553
MSFT,ORCL,2.489551572810587
CPRT,MPWR,2.4893280497342802
ISRG,RSG,2.4889705280075924
APH,LRCX,2.4888276573725134
ARES,PGR,2.488261861625304
PWR,TT,2.488259907136188
CTAS,DECK,2.487901400382616
AJG,TDG,2.4874821515349863
CTAS,PWR,2.487232667775046
CTAS,TMUS,2.4861629002686954
ARES,AVGO,2.4857730327421703
ETN,MSFT,2.485710827454982
MSCI,SPGI,2.485190117141596
BRK-B,BRO,2.485061291225413
ANET,APH,2.485056166586185
AJG,AZO,2.48467515765511
HD,LOW,2.4844978381562104
RSG,SYK,2.4844607567315986
AJG,PH,2.4842497617109784
ARES,KLAC,2.4836181220604088
AFL,MSI,2.4825605496834626
GRMN,PGR,2.4819073413109765
CPRT,TDG,2.4816195316564267
PH,PWR,2.48142766984087
DOV,ETN,2.4804244436340817
INTU,MSI,2.480007687179444
APO,KLAC,2.479759771377004
AFL,RSG,2.4792858188547884
ETN,NVDA,2.4788382201104584
BRO,INTU,2.478580753230931
AJG,SYK,2.478513771347923
DHI,LEN,2.478456494179102
ADP,MSFT,2.4783751369038107
APH,FIX,2.4782207603305384
ISRG,V,2.477827188478395
APH,CAT,2.4769225040005693
CTAS,EME,2.476790051246998
APH,MRSH,2.47648553975923
CDNS,WM,2.4762257675153565
APH,GRMN,2.4760361271153313
MA,PGR,2.4755345445084576
AJG,LRCX,2.4751909673263235
APH,SNPS,2.47482654869782
CPRT,PH,2.474679992034816
AME,PH,2.474625563587348
PGR,V,2.474194346373827
LRCX,MPWR,2.4739067906968835
NDAQ,NVDA,2.4737933597614172
FICO,NOW,2.4733928833750287
BRO,GRMN,2.473324914141646
FICO,TT,2.4717960967226764
ARES,LIN,2.4714692108731957
CPRT,SPGI,2.4708435467917855
AJG,PAYX,2.47065409703629
AMP,PH,2.4700291556554967
AJG,FISV,2.47000995747575
BAC,JPM,2.4699976069566203
BR,PGR,2.4698786471937844
CDNS,NOW,2.4694894222673565
ARES,TT,2.468909596266713
GRMN,NVDA,2.468221174374095
AME,TT,2.4680314779786325
AJG,NVR,2.4680308784424847
INTU,SPGI,2.4678997764859103
MSI,TDG,2.467774928311073
FICO,SPGI,2.4676316159855163
ADP,PGR,2.4672986805606776
NVDA,TT,2.4672799014909472
AJG,DECK,2.4672576013330056
APO,NVDA,2.467163067113674
ERIE,RSG,2.466759701823469
INTU,NVDA,2.4662297725097995
RSG,WMT,2.4661819785877563
HLT,MAR,2.4658617993571434
AJG,EME,2.4658464446701647
MA,TDG,2.4656521119279553
INTU,WM,2.4652944834026513
CTAS,KKR,2.4651991170434275
AMAT,NVDA,2.4641795579868533
FIX,NVDA,2.463782662183044
GRMN,SPGI,2.4635857326297668
PGR,SNPS,2.463382177440881
CTAS,LII,2.463349934765935
LLY,PGR,2.462930279442747
ADP,COST,2.4617814532154267
CDNS,V,2.461722729053906
FISV,V,2.4616522119226842
AJG,LII,2.4615032158765597
ANET,NVDA,2.4611499162367223
FIX,TT,2.4608674135265822
MSCI,PGR,2.460778659139619
APH,ARES,2.4603928992695416
TDG,V,2.460328706974447
ARES,CDNS,2.4598160210219646
MSFT,ODFL,2.4598013704210775
ANET,AVGO,2.4593963418969
SYK,WM,2.4593703035114425
AZO,PGR,2.4593508587774267
AJG,ROL,2.459183742558229
CTAS,HD,2.4588841080853943
CPRT,NDAQ,2.4586589773825054
ARES,CPRT,2.458585568331183
INTU,MSCI,2.4579609475361694
MA,MCO,2.457938881301777
ARES,BRO,2.4578035263958693
MRSH,TT,2.4577496453018135
LIN,TT,2.457030312779268
FISV,RSG,2.45696338106422
ICE,NDAQ,2.4569368312307436
AVGO,BRO,2.456872885112647
MRSH,NVDA,2.4560551909853183
AAPL,COST,2.4559730941200053
AVGO,FIX,2.455423265073706
ITW,PH,2.4553720601367375
BR,CPRT,2.4552983008580656
FICO,VRSK,2.455076610657147
ARES,NDAQ,2.4537469662307774
FICO,KLAC,2.4535194161880343
LLY,MSFT,2.4533916141508025
AJG,ERIE,2.453334717889664
AAPL,GOOG,2.4532331784431074
ROL,RSG,2.452027517414001
COST,GRMN,2.4519399477174604
PH,URI,2.4510891019713696
AJG,CAT,2.4509226636072556
AAPL,MPWR,2.4508110333497086
ORCL,TT,2.450526808198049
ADI,KLAC,2.4504198418338676
CTAS,ROL,2.450298093749715
NVDA,SPGI,2.4502212132776107
CPRT,DECK,2.4500551830476494
BRO,FAST,2.44988571160307
BRO,ORLY,2.449325970292721
COST,MRSH,2.4490559941646
AME,ETN,2.4484198969320996
AJG,MPWR,2.4483915300879042
ADI,AVGO,2.4482588011486346
ISRG,MA,2.447991017966308
FICO,FIX,2.447864148056225
MCD,MSI,2.4477325618861654
AAPL,RSG,2.4476124078590518
AMP,APH,2.447570005231672
AJG,ROP,2.4473262343981874
AME,MSFT,2.447203188449131
AZO,RSG,2.446959010501879
CTAS,FISV,2.4467910407433355
ARES,ETN,2.446601257573894
EME,PWR,2.4465700176884537
CDW,CTAS,2.445815203263807
CPRT,MCO,2.4457941110616632
MCO,RSG,2.4455849824013285
ETN,PWR,2.445385596728103
MA,SNPS,2.4452217921982187
MCD,WM,2.44522118940334
BRO,MCO,2.4451024296202366
PGR,PWR,2.4447484114822666
MCD,PGR,2.4444500671837517
AJG,AMP,2.444274129402846
INTU,MA,2.44397346252843
MSFT,TMUS,2.443697562075706
GRMN,LIN,2.4435894681595927
APO,CPRT,2.4434483648215517
CDW,MSI,2.4433202024854843
MSI,ORLY,2.443228389561034
KLAC,PGR,2.4431305606470115
GS,MS,2.442983290836512
CTAS,LLY,2.4426897429836965
ADI,APH,2.442481399085277
PWR,RSG,2.442457068410117
CDNS,SPGI,2.4423775311540474
COST,TT,2.442276039574156
SNPS,WM,2.4421580257690803
AVGO,ORCL,2.442024739235577
CDNS,TT,2.441735518200859
AAPL,BRO,2.441675740333182
AAPL,CDNS,2.441577907264181
FICO,NDAQ,2.441324163343828
AVGO,TT,2.441085085583645
RSG,TMUS,2.4410296906268916
FICO,LIN,2.441009611756412
CPRT,GOOG,2.4409517831138245
SPGI,V,2.4407527903926853
AON,PGR,2.4407087364957607
AAPL,APH,2.4405634073691727
GOOG,INTU,2.4405572324787626
MSFT,WMT,2.4405539326772603
APH,KKR,2.4401953363563926
PAYX,RSG,2.439970890370929
CTAS,ORCL,2.4394474994195567
NVDA,WM,2.4392948917440913
ISRG,PGR,2.4383302448695723
GOOG,KKR,2.438244139429388
CPRT,PWR,2.4381949925869457
CPRT,LIN,2.438186178633488
ARES,MRSH,2.4380866752674466
CB,TRV,2.4379765733684082
GWW,PGR,2.43736851909285
APO,BRO,2.436792295243361
EME,MSI,2.4363796013773173
TT,WRB,2.436068710279497
AFL,WRB,2.436032563139557
CTAS,FAST,2.435933215321552
AAPL,SNPS,2.435444040068487
COST,V,2.435332276274243
BR,SPGI,2.4353213080318783
CDNS,GOOG,2.4353177949619846
NVDA,PH,2.4350953767108203
MSCI,NVDA,2.4347714652794483
BRO,KLAC,2.433978339091013
BR,ISRG,2.433538465173318
CDNS,MSCI,2.433537549581829
COST,SNPS,2.433523794209038
CDNS,COST,2.4333267833697816
FICO,FISV,2.4332607881732753
EME,MSFT,2.4332395949747854
FAST,RSG,2.4330455135724263
CPRT,ETN,2.432646877664089
ANET,MSI,2.4322823051741085
AJG,KKR,2.431927989775546
BR,COST,2.4318124530951515
GRMN,ISRG,2.4317264643343357
AEP,XEL,2.431614032774377
ORCL,PGR,2.43154317837158
ETN,RSG,2.431511135822144
AFL,FICO,2.4314006587731134
FICO,MCO,2.431394932567817
