ticker1,ticker2,adf_stat,p_value,beta
CDNS,MSFT,-3.8828731265422722,0.002164570082800323,0.5330307174329953
MRSH,BRO,-3.6356629150022566,0.005114711383788761,1.0790783073966261
NVDA,AVGO,-3.5656178297170125,0.006453402055908196,0.4210239033908008
AZO,ORLY,-3.2682825515761085,0.01635715980899088,34.056993908372604
WM,RSG,-3.0852772816850975,0.02766209546387196,0.5508217712121513
KLAC,LRCX,-2.9684376042949006,0.03794891715521716,5.485912346106834
PGR,AJG,-2.8241085616283432,0.05491169702579914,0.7404291352406726
SNPS,CTAS,-2.8135611671086678,0.05636261031887442,-0.40185964408584324
MA,V,-2.7987005368399105,0.058459627012048807,1.3782802727950816
CDNS,CTAS,-2.792189938548264,0.059398069121757484,0.20038451174877905
ETN,PH,-2.756429829071407,0.06477201316745029,0.18713835282473543
WM,CTAS,-2.709561334774787,0.07239830413651403,0.5104589972690035
WM,MSI,-2.6730879496477304,0.07881212215275862,0.15404385575399865
SNPS,MSFT,-2.6452250749449555,0.08400567564263589,0.11249920626192714
PGR,CTAS,-2.5082075695863564,0.11349008484435735,1.1315678381601453
CDNS,SNPS,-2.3973865854709393,0.14247538467379667,0.15534492521822443
CTAS,MSI,-2.396826195170967,0.1426341961485258,0.3532387439942922
MSFT,CPRT,-2.357262596962122,0.15416368307902423,-3.3079451060657257
CTAS,RSG,-2.35609807175248,0.15451256378957612,0.7911847880003525
FICO,AJG,-2.3422441387210045,0.15870500803914156,5.693983947859001
AJG,BRO,-2.2892220444994877,0.1754676424900644,2.2414954674296257
CTAS,CPRT,-2.257249424823331,0.18612662823551535,0.21618808520059377
MSFT,INTU,-2.196564493934563,0.20749470948900212,0.38433272743017016
FICO,CTAS,-2.175719624071681,0.21517554106110853,9.438958199568455
MSFT,BRO,-2.0601650604835067,0.26083101743421677,-0.427025952183186
PGR,RSG,-2.01949940501496,0.27808927445907317,1.0474434287361662
MRSH,AJG,-1.9563359622529601,0.3060401022096285,0.38107425216669555
AJG,CPRT,-1.934117241091323,0.31618535387206853,2.0748749077672386
MSFT,AJG,-1.9111999398576278,0.32681078784462714,0.18587297708653128
CTAS,MSFT,-1.8935648398866747,0.33509444272945477,0.18289062541220422
CTAS,MRSH,-1.7875802129592966,0.38664497291552147,0.7015499030008734
AON,AJG,-1.7500075670488853,0.40554849571550383,0.7231828646047924
CTAS,AJG,-1.7038728793808642,0.42911816574125594,0.4815141446488839
WM,AJG,-1.6950656145498437,0.43365659724511124,0.24945710718523684
RSG,MSI,-1.6876572398735818,0.43748279534393775,0.2795978958200309
MSFT,RSG,-1.6780207386622987,0.4424709426002935,0.8067491039498134
LRCX,AMAT,-1.6595158773802012,0.4520824619488259,0.8293079667822807
AON,MRSH,-1.6437905305903526,0.4602808243163342,1.023123432808841
MSFT,MSI,-1.6081418280436461,0.4795024271979549,0.24457630850896933
MRSH,RSG,-1.4138343225795686,0.5756260947732268,0.2686800514174465
AVGO,KLAC,-1.4123620034419577,0.576335479888105,0.2876665751353599
MSFT,NVDA,-1.377931154953719,0.5928092869625958,0.8901705465407739
MSFT,GOOG,-1.3593051493583193,0.6016228913262687,0.4156451074420148
KLAC,AMAT,-1.3463218566595534,0.6077227773585571,4.396805390875174
CTAS,BRO,-1.262374806305416,0.646205373896071,1.0256689697925199
MCO,SPGI,-1.2228110056330979,0.6637068332015568,1.0228615226768754
TT,AJG,-0.9714350466155153,0.7635396429312464,0.65679500180734
RSG,AJG,-0.770342191333639,0.8276789946746929,0.5256408521150026
AJG,MSI,-0.7278031030073469,0.839415882773685,0.41734044958505634
RSG,BRO,-0.4788404679613867,0.8960799156361708,0.94339777796282
